event_id,rup_id,rlz_id,year,ses_id
0,0,2,1,7271
1,1,2,1,861
2,2,2,1,5391
3,3,2,1,5192
4,4,2,1,5735
5,5,2,1,6266
6,6,2,1,467
7,7,2,1,4427
8,8,2,1,5579
9,9,2,1,8323
10,10,2,1,1686
11,11,2,1,770
12,12,2,1,6950
13,13,2,1,2434
14,14,2,1,5312
15,15,2,1,5052
16,16,2,1,6421
17,17,2,1,1185
18,18,2,1,4556
19,19,2,1,3386
20,20,2,1,6397
21,21,2,1,8667
22,22,2,1,9275
23,23,2,1,2559
24,24,2,1,7850
25,25,2,1,2048
26,26,2,1,2748
27,27,2,1,9168
28,28,2,1,9999
29,29,2,1,190
30,30,2,1,2735
31,31,2,1,3006
32,32,2,1,4659
33,33,2,1,1900
34,34,2,1,7735
35,35,2,1,1268
36,36,2,1,1529
37,37,2,1,3557
38,38,2,1,3891
39,39,2,1,8839
40,40,2,1,5394
41,41,2,1,8793
42,42,2,1,8434
43,43,2,1,7514
44,44,2,1,2613
45,45,2,1,7042
46,46,2,1,9556
47,47,2,1,6236
48,48,2,1,5487
49,49,2,1,7100
50,50,2,1,9671
51,51,2,1,776
52,52,2,1,8227
53,53,2,1,3153
54,54,2,1,1586
55,55,2,1,3944
56,56,2,1,7556
57,57,2,1,3074
58,58,2,1,1022
59,59,2,1,3844
60,60,2,1,7990
61,61,2,1,9693
62,62,2,1,6874
63,63,2,1,5676
64,64,2,1,162
65,65,2,1,4298
66,66,2,1,996
67,67,2,1,7630
68,68,2,1,9468
69,69,2,1,1017
70,70,2,1,7870
71,71,2,1,6440
72,72,2,1,7893
73,73,2,1,6864
74,74,2,1,7917
75,75,2,1,8530
76,76,2,1,879
77,77,2,1,9269
78,78,2,1,4888
79,79,2,1,4860
80,80,2,1,6332
81,81,2,1,8572
82,82,2,1,8685
83,83,2,1,7209
84,84,2,1,5277
85,85,2,1,2063
86,86,2,1,65
87,87,2,1,8007
88,88,2,1,2569
89,89,2,1,5464
90,90,2,1,2028
91,91,2,1,2696
92,92,2,1,9688
93,93,2,1,5259
94,94,2,1,5619
95,95,2,1,6737
96,96,2,1,392
97,97,2,1,5893
98,98,2,1,3562
99,99,2,1,6185
100,100,2,1,3100
101,101,2,1,6279
102,102,2,1,8393
103,103,2,1,3105
104,104,2,1,7216
105,105,2,1,2455
106,106,2,1,8997
107,107,2,1,2732
108,108,2,1,8155
109,109,2,1,9763
110,110,2,1,5057
111,111,2,1,8111
112,112,2,1,3841
113,113,2,1,1029
114,114,2,1,7386
115,115,2,1,503
116,116,2,1,6911
117,117,2,1,9063
118,118,2,1,6939
119,119,2,1,4489
120,120,2,1,207
121,121,2,1,5135
122,122,2,1,5978
123,123,2,1,7722
124,124,2,1,7036
125,125,2,1,1485
126,126,2,1,7859
127,127,2,1,864
128,128,2,1,2791
129,129,2,1,7409
130,130,2,1,8756
131,131,2,1,5117
132,132,2,1,6020
133,133,2,1,1758
134,134,2,1,7575
135,135,2,1,6375
136,136,2,1,6893
137,137,2,1,1679
138,138,2,1,3243
139,139,2,1,4637
140,140,2,1,1060
141,141,2,1,6669
142,142,2,1,9915
143,143,2,1,3158
144,144,2,1,5916
145,145,2,1,9790
146,146,2,1,2694
147,147,2,1,3628
148,148,2,1,9556
149,149,2,1,5451
150,150,2,1,1664
151,151,2,1,9722
152,152,2,1,5593
153,153,2,1,7393
154,154,2,1,1307
155,155,2,1,6777
156,156,2,1,5865
157,157,2,1,9475
158,158,2,1,7527
159,159,2,1,8902
160,160,2,1,5576
161,161,2,1,5531
162,162,2,1,4414
163,163,2,1,3749
164,164,2,1,664
165,165,2,1,1999
166,166,2,1,7995
167,167,2,1,1496
168,168,2,1,3305
169,169,2,1,3764
170,170,2,1,5233
171,171,2,1,1854
172,172,2,1,6586
173,173,2,1,1292
174,174,2,1,3582
175,175,2,1,7555
176,176,2,1,7281
177,177,2,1,1637
178,178,2,1,3697
179,179,2,1,699
180,180,2,1,4738
181,181,2,1,855
182,182,2,1,8165
183,183,2,1,5856
184,184,2,1,7393
185,185,2,1,6529
186,186,2,1,5250
187,187,2,1,5173
188,188,2,1,1708
189,189,2,1,5792
190,190,2,1,9926
191,191,2,1,5536
192,192,2,1,4932
193,193,2,1,3511
194,194,2,1,203
195,195,2,1,4219
196,196,2,1,8959
197,197,2,1,4390
198,198,2,1,2328
199,199,2,1,8005
200,200,2,1,2932
201,201,2,1,7778
202,202,2,1,198
203,203,2,1,7126
204,204,2,1,1931
205,205,2,1,6288
206,206,2,1,8801
207,207,2,1,9340
208,208,2,1,4283
209,209,2,1,2512
210,210,2,1,9987
211,211,2,1,660
212,212,2,1,2812
213,213,2,1,7099
214,214,2,1,6547
215,215,2,1,9562
216,216,2,1,1987
217,217,2,1,8339
218,218,2,1,2912
219,219,2,1,1735
220,220,2,1,1844
221,221,2,1,8681
222,222,2,1,2977
223,223,2,1,1960
224,224,2,1,5760
225,225,2,1,6695
226,226,2,1,2386
227,227,2,1,4737
228,228,2,1,1803
229,229,2,1,8156
230,230,2,1,8121
231,231,2,1,6617
232,232,2,1,5535
233,233,2,1,4062
234,234,2,1,263
235,235,2,1,6288
236,236,2,1,8816
237,237,2,1,9209
238,238,2,1,2050
239,239,2,1,5424
240,240,2,1,4549
241,241,2,1,3109
242,242,2,1,7159
243,243,2,1,7401
244,244,2,1,3171
245,245,2,1,9875
246,246,2,1,2256
247,247,2,1,1155
248,248,2,1,4500
249,249,2,1,6296
250,250,2,1,6198
251,251,2,1,9889
252,252,2,1,1649
253,253,2,1,5540
254,254,2,1,9638
255,255,2,1,4200
256,256,2,1,8446
257,257,2,1,2558
258,258,2,1,5593
259,259,2,1,99
260,260,2,1,2201
261,261,2,1,2962
262,262,2,1,4974
263,263,2,1,4434
264,264,2,1,2870
265,265,2,1,957
266,266,2,1,8353
267,267,2,1,5700
268,268,2,1,6945
269,269,2,1,4494
270,270,2,1,9493
271,271,2,1,4912
272,272,2,1,3988
273,273,2,1,9720
274,274,2,1,6016
275,275,2,1,1219
276,276,2,1,4497
277,277,2,1,4736
278,278,2,1,4556
279,279,2,1,9147
280,280,2,1,8051
281,281,2,1,3447
282,282,2,1,1046
283,283,2,1,6894
284,284,2,1,1694
285,285,2,1,3437
286,286,2,1,8755
287,287,2,1,5896
288,288,2,1,3355
289,289,2,1,226
290,290,2,1,4894
291,291,2,1,7023
292,292,2,1,9152
293,293,2,1,5601
294,294,2,1,7997
295,295,2,1,9008
296,296,2,1,7684
297,297,2,1,4643
298,298,2,1,7680
299,299,2,1,8209
300,300,2,1,7340
301,301,2,1,9436
302,302,2,1,2206
303,303,2,1,1070
304,304,2,1,3445
305,305,2,1,1061
306,306,2,1,2328
307,307,2,1,3421
308,308,2,1,302
309,309,2,1,607
310,310,2,1,3171
311,311,2,1,700
312,312,2,1,5089
313,313,2,1,9332
314,314,2,1,191
315,315,2,1,981
316,316,2,1,2976
317,317,2,1,6103
318,318,2,1,1185
319,319,2,1,3328
320,320,2,1,3395
321,321,2,1,8320
322,322,2,1,1817
323,323,2,1,5855
324,324,2,1,6710
325,325,2,1,570
326,326,2,1,5443
327,327,2,1,1896
328,328,2,1,2734
329,329,2,1,3864
330,330,2,1,7456
331,331,2,1,4015
332,332,2,1,1687
333,333,2,1,3010
334,334,2,1,7807
335,335,2,1,155
336,336,2,1,1410
337,337,2,1,785
338,338,2,1,8097
339,339,2,1,7561
340,340,2,1,7344
341,341,2,1,7207
342,342,2,1,5597
343,343,2,1,5802
344,344,2,1,2807
345,345,2,1,538
346,346,2,1,5987
347,347,2,1,1842
348,348,2,1,8717
349,349,2,1,6972
350,350,2,1,5626
351,351,2,1,2951
352,352,2,1,7993
353,353,2,1,4781
354,354,2,1,2369
355,355,2,1,6656
356,356,2,1,8174
357,357,2,1,4496
358,358,2,1,9164
359,359,2,1,6003
360,360,2,1,6615
361,361,2,1,9359
362,362,2,1,5920
363,363,2,1,854
364,364,2,1,4147
365,365,2,1,3770
366,366,2,1,575
367,367,2,1,1149
368,368,2,1,6294
369,369,2,1,6458
370,370,2,1,7510
371,371,2,1,9908
372,372,2,1,4778
373,373,2,1,3855
374,374,2,1,2492
375,375,2,1,3125
376,376,2,1,5692
377,377,2,1,3052
378,378,2,1,5
379,379,2,1,5223
380,380,2,1,5316
381,381,2,1,4870
382,382,2,1,877
383,383,2,1,9184
384,384,2,1,7028
385,385,2,1,4143
386,386,3,1,6967
387,387,3,1,7080
388,388,3,1,7988
389,389,3,1,6800
390,390,3,1,4466
391,391,3,1,636
392,392,3,1,1694
393,393,3,1,9875
394,394,3,1,4753
395,395,3,1,8312
396,396,3,1,831
397,397,3,1,5178
398,398,3,1,9562
399,399,3,1,8933
400,400,3,1,8309
401,401,3,1,5950
402,402,3,1,2839
403,403,3,1,1151
404,404,3,1,7561
405,405,3,1,1932
406,406,3,1,9205
407,407,3,1,1665
408,408,3,1,1082
409,409,3,1,513
410,410,3,1,7806
411,411,3,1,5238
412,412,3,1,560
413,413,3,1,3673
414,414,3,1,7405
