#,,,,,,,,,"generated_by='OpenQuake engine 3.11.4', start_date='2022-05-08T14:37:27', checksum=3467869817, investigation_time=1.0, ses_per_logic_tree_path=10000"
rup_id,multiplicity,mag,centroid_lon,centroid_lat,centroid_depth,trt,strike,dip,rake
0,1,5.150000E+00,1.942133E+01,-3.148297E+01,5.000000E+00,Stable Continental Crust,8.901242E+01,5.999818E+01,-8.000000E+01
1,1,5.150000E+00,1.995502E+01,-3.166284E+01,1.000000E+01,Stable Continental Crust,8.901010E+01,6.000216E+01,-8.000000E+01
2,1,5.450000E+00,2.001608E+01,-3.188767E+01,1.000000E+01,Stable Continental Crust,8.901778E+01,6.000284E+01,-8.000000E+01
3,1,5.150000E+00,1.976050E+01,-3.215747E+01,5.000000E+00,Stable Continental Crust,8.901239E+01,5.999823E+01,-8.000000E+01
4,1,5.650000E+00,1.981362E+01,-3.215747E+01,5.000000E+00,Stable Continental Crust,8.902383E+01,6.000046E+01,-8.000000E+01
5,1,5.350000E+00,2.018712E+01,-3.219992E+01,1.451686E+01,Stable Continental Crust,8.901536E+01,6.000163E+01,-8.000000E+01
6,1,5.150000E+00,2.050794E+01,-3.224739E+01,1.000000E+01,Stable Continental Crust,8.901471E+01,6.000215E+01,-8.000000E+01
7,1,5.250000E+00,2.088011E+01,-3.224740E+01,1.000000E+01,Stable Continental Crust,8.901382E+01,6.000142E+01,-8.000000E+01
8,1,5.250000E+00,2.019425E+01,-3.238230E+01,1.000000E+01,Stable Continental Crust,8.901797E+01,5.999779E+01,-8.000000E+01
9,1,5.250000E+00,2.003621E+01,-3.242726E+01,1.000000E+01,Stable Continental Crust,8.901379E+01,5.999779E+01,-8.000000E+01
10,1,5.150000E+00,2.073491E+01,-3.256216E+01,1.000000E+01,Stable Continental Crust,8.901925E+01,5.999824E+01,-8.000000E+01
11,1,5.450000E+00,2.042051E+01,-3.269706E+01,1.000000E+01,Stable Continental Crust,8.901948E+01,5.999987E+01,-8.000000E+01
12,1,5.550000E+00,2.031539E+01,-3.273684E+01,1.400083E+01,Stable Continental Crust,8.902143E+01,5.999837E+01,-8.000000E+01
13,1,5.550000E+00,2.123364E+01,-3.292189E+01,1.000000E+01,Stable Continental Crust,8.901830E+01,6.000109E+01,-8.000000E+01
14,1,7.350000E+00,1.908797E+01,-3.114435E+01,8.750000E+00,Stable Continental Crust,3.047973E+02,7.800096E+01,-1.200000E+00
15,1,7.250000E+00,1.919588E+01,-3.123429E+01,8.750000E+00,Stable Continental Crust,3.048359E+02,7.800006E+01,-1.200000E+00
16,1,5.650000E+00,1.814666E+01,-3.127730E+01,1.000000E+01,Stable Continental Crust,3.049884E+02,7.800075E+01,-1.200000E+00
17,1,5.250000E+00,1.814759E+01,-3.132227E+01,1.000000E+01,Stable Continental Crust,3.049945E+02,7.800026E+01,-1.200000E+00
18,1,5.150000E+00,1.777988E+01,-3.136723E+01,1.000000E+01,Stable Continental Crust,3.049934E+02,7.800349E+01,-1.200000E+00
19,1,5.450000E+00,1.793787E+01,-3.136723E+01,1.000000E+01,Stable Continental Crust,3.049901E+02,7.799768E+01,-1.200000E+00
20,1,5.150000E+00,1.851716E+01,-3.136723E+01,1.500000E+01,Stable Continental Crust,3.049934E+02,7.800348E+01,-1.200000E+00
21,1,5.350000E+00,1.862249E+01,-3.136723E+01,5.000000E+00,Stable Continental Crust,3.049924E+02,7.800064E+01,-1.200000E+00
22,1,6.150000E+00,1.814485E+01,-3.141781E+01,1.141691E+01,Stable Continental Crust,3.049800E+02,7.799911E+01,-1.200000E+00
23,1,5.550000E+00,1.825483E+01,-3.141219E+01,1.000000E+01,Stable Continental Crust,3.049861E+02,7.799985E+01,-1.200000E+00
24,1,6.650000E+00,1.830592E+01,-3.141415E+01,8.750000E+00,Stable Continental Crust,3.049572E+02,7.799960E+01,-1.200000E+00
25,1,5.250000E+00,1.920296E+01,-3.141250E+01,1.480278E+01,Stable Continental Crust,3.049943E+02,7.800046E+01,-1.200000E+00
